Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
16,9.0,1.0,SAA,0.10145422883804714,N/A,,0.9
16,9.0,1.0,LS_KDEx_LGBM,0.08337033532607271,"{'binSize': 400, 'weightsByDistance': False}",0.1782468184824706,0.9
16,9.0,1.0,LS_KDEx_MLP,0.09771655144683712,"{'binSize': 400, 'weightsByDistance': False}",0.03684102115818677,0.9
16,9.0,1.0,DRF,0.08860505156176826,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 100)])",0.12664999205494143,0.9
18,9.0,1.0,SAA,0.10959491227328333,N/A,,0.9
18,9.0,1.0,LS_KDEx_LGBM,0.09689722700255629,"{'binSize': 100, 'weightsByDistance': False}",0.11586017094538459,0.9
18,9.0,1.0,LS_KDEx_MLP,0.1148146257509297,"{'binSize': 400, 'weightsByDistance': False}",-0.04762733387322404,0.9
18,9.0,1.0,DRF,0.09489355543759524,"OrderedDict([('min_node_size', 1), ('num_features', 8), ('num_trees', 100)])",0.13414269449871108,0.9
19,9.0,1.0,SAA,0.10906458237843332,N/A,,0.9
19,9.0,1.0,LS_KDEx_LGBM,0.10768419825422242,"{'binSize': 400, 'weightsByDistance': False}",0.01265657552716093,0.9
19,9.0,1.0,LS_KDEx_MLP,0.10937650141405636,"{'binSize': 400, 'weightsByDistance': False}",-0.002859948012643887,0.9
19,9.0,1.0,DRF,0.09384884891838431,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 100)])",0.13951122470953325,0.9
20,9.0,1.0,SAA,0.09093668798023283,N/A,,0.9
20,9.0,1.0,LS_KDEx_LGBM,0.07236197878215005,"{'binSize': 100, 'weightsByDistance': False}",0.20425979448603204,0.9
20,9.0,1.0,LS_KDEx_MLP,0.09076235871900648,"{'binSize': 400, 'weightsByDistance': False}",0.001917039921931596,0.9
20,9.0,1.0,DRF,0.08237965190772346,"OrderedDict([('min_node_size', 1), ('num_features', 8), ('num_trees', 100)])",0.09409883142400599,0.9
21,9.0,1.0,SAA,0.12776897655670327,N/A,,0.9
21,9.0,1.0,LS_KDEx_LGBM,0.10895427828575158,"{'binSize': 100, 'weightsByDistance': False}",0.14725560756606526,0.9
21,9.0,1.0,LS_KDEx_MLP,0.11888364925666227,"{'binSize': 400, 'weightsByDistance': False}",0.0695421340883774,0.9
21,9.0,1.0,DRF,0.10552290821152616,"OrderedDict([('min_node_size', 1), ('num_features', 79), ('num_trees', 500)])",0.17411165796811734,0.9
22,9.0,1.0,SAA,0.10569021924392626,N/A,,0.9
22,9.0,1.0,LS_KDEx_LGBM,0.09554429449669181,"{'binSize': 100, 'weightsByDistance': False}",0.09599681805767002,0.9
22,9.0,1.0,LS_KDEx_MLP,0.12161819654445773,"{'binSize': 400, 'weightsByDistance': False}",-0.15070436426828415,0.9
