Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
19.0_101.0,9.0,1.0,SAA,0.021994438947800093,N/A,,0.9
19.0_109.0,9.0,1.0,SAA,0.034048995764138966,N/A,,0.9
19.0_110.0,9.0,1.0,SAA,0.024462469030422117,N/A,,0.9
2.0_101.0,9.0,1.0,SAA,0.04787215269778558,N/A,,0.9
2.0_109.0,9.0,1.0,SAA,0.044089377505970126,N/A,,0.9
2.0_110.0,9.0,1.0,SAA,0.03717413653524783,N/A,,0.9
21.0_101.0,9.0,1.0,SAA,0.032360514987578436,N/A,,0.9
21.0_109.0,9.0,1.0,SAA,0.02838985465944713,N/A,,0.9
21.0_110.0,9.0,1.0,SAA,0.02649985803530062,N/A,,0.9
25.0_101.0,9.0,1.0,SAA,0.03972998448749647,N/A,,0.9
25.0_109.0,9.0,1.0,SAA,0.033151117904608916,N/A,,0.9
25.0_110.0,9.0,1.0,SAA,0.03275696660136671,N/A,,0.9
28.0_101.0,9.0,1.0,SAA,0.04085819451697638,N/A,,0.9
28.0_109.0,9.0,1.0,SAA,0.04402673995681805,N/A,,0.9
28.0_110.0,9.0,1.0,SAA,0.03482488730906807,N/A,,0.9
30.0_101.0,9.0,1.0,SAA,0.038696148554024964,N/A,,0.9
30.0_109.0,9.0,1.0,SAA,0.03167842791517252,N/A,,0.9
30.0_110.0,9.0,1.0,SAA,0.0305084117735307,N/A,,0.9
34.0_101.0,9.0,1.0,SAA,0.03576487594079086,N/A,,0.9
34.0_109.0,9.0,1.0,SAA,0.03019103090483521,N/A,,0.9
34.0_110.0,9.0,1.0,SAA,0.024108558902050332,N/A,,0.9
35.0_101.0,9.0,1.0,SAA,0.03808114223727531,N/A,,0.9
35.0_109.0,9.0,1.0,SAA,0.03437078558397641,N/A,,0.9
35.0_110.0,9.0,1.0,SAA,0.03060998372768108,N/A,,0.9
36.0_101.0,9.0,1.0,SAA,0.034587013803100516,N/A,,0.9
36.0_109.0,9.0,1.0,SAA,0.03478433484133114,N/A,,0.9
36.0_110.0,9.0,1.0,SAA,0.023740183251724997,N/A,,0.9
37.0_101.0,9.0,1.0,SAA,0.03315111790460892,N/A,,0.9
37.0_109.0,9.0,1.0,SAA,0.026729761483252505,N/A,,0.9
